id,titulo,empresa,localidade,estado,modalidade,nivel,salario_min,salario_max,descricao
1,Estagio em Data Analytics,TechNova,Sao Paulo,SP,Hibrido,Estagio,1200,1800,"Apoiar analises de dados usando Excel SQL Power BI e Python. Criar dashboards e acompanhar indicadores de negocio."
2,Estagiario de BI,LojaMais,Curitiba,PR,Presencial,Estagio,1000,1500,"Auxiliar na construcao de relatorios em Power BI, consultas SQL e organizacao de planilhas Excel."
3,Analista de Dados Junior,FinData,Rio de Janeiro,RJ,Hibrido,Junior,2800,3800,"Realizar EDA com Python Pandas, criar consultas SQL e apoiar times de produto com dashboards."
4,Estagio em Dados,HealthCore,Belo Horizonte,MG,Remoto,Estagio,1300,2000,"Trabalhar com limpeza de dados, Excel, Google Sheets, SQL basico e visualizacoes em Looker Studio."
5,Assistente de Dados,AgroView,Ribeirao Preto,SP,Presencial,Entrada,1900,2500,"Organizar bases comerciais, tratar arquivos CSV, construir metricas em Excel e apoiar relatorios semanais."
6,Analista BI Junior,MarketHub,Sao Paulo,SP,Hibrido,Junior,3000,4200,"Desenvolver dashboards em Power BI, modelagem simples, DAX, SQL e acompanhamento de KPIs."
7,Estagiario Analytics,AppFlow,Florianopolis,SC,Remoto,Estagio,1400,2200,"Apoiar analises exploratorias com Python, Pandas e SQL. Gerar insights para marketing e produto."
8,Data Analyst Intern,CloudBridge,Campinas,SP,Hibrido,Estagio,1500,2300,"Criar pipelines simples em Python, consultar banco PostgreSQL e manter paineis de Power BI."
9,Analista de Dados Junior,PayLoop,Porto Alegre,RS,Remoto,Junior,3200,4500,"Analisar comportamento de clientes usando SQL, Python, estatistica descritiva e dashboards."
10,Estagio em Business Intelligence,EduNext,Recife,PE,Presencial,Estagio,1100,1600,"Construir relatorios, apoiar area comercial, usar Excel avancado, Power BI e SQL."
11,Assistente de BI,Foodly,Goiania,GO,Hibrido,Entrada,2100,2800,"Atualizar dashboards, tratar dados de vendas, criar consultas SQL e acompanhar indicadores."
12,Estagiario de Dados,LogiTrack,Sao Paulo,SP,Remoto,Estagio,1300,1900,"Extrair dados de planilhas e APIs, limpar bases com Python e gerar visualizacoes em Power BI."
13,Analista de Dados Junior,RetailPro,Salvador,BA,Hibrido,Junior,2700,3600,"Criar analises de vendas com SQL, Excel, Python e storytelling para apresentacoes executivas."
14,Estagio em BI,InsureLab,Barueri,SP,Hibrido,Estagio,1200,1800,"Apoiar modelagem de dados, atualizar Power BI, escrever consultas SQL e documentar processos."
15,Analista de Dados Jr,PeopleOps,Rio de Janeiro,RJ,Remoto,Junior,2900,3900,"Analisar dados de RH, criar metricas, tratar bases em Pandas, SQL e construir dashboards."
16,Estagiario Data Analytics,BankLite,Brasilia,DF,Hibrido,Estagio,1600,2400,"Apoiar analises financeiras com SQL, Python, Excel e visualizacoes para tomada de decisao."
17,Assistente de Dados,AutoParts,Joinville,SC,Presencial,Entrada,2000,2600,"Tratar dados de estoque, criar indicadores em Excel, atualizar dashboards e validar cadastros."
18,Analista BI Junior,MediaSpark,Sao Paulo,SP,Remoto,Junior,3100,4300,"Criar relatorios de marketing, trabalhar com Looker Studio, SQL, Power BI e analise de funil."
19,Estagio em Analytics,MobiPay,Fortaleza,CE,Remoto,Estagio,1200,1900,"Apoiar extracao e analise de dados com SQL, Python e Google Sheets. Criar graficos e insights."
20,Analista de Dados Junior,GreenGrid,Curitiba,PR,Hibrido,Junior,3000,4100,"Construir analises operacionais, limpar dados com Pandas, usar SQL e apresentar resultados."
21,Estagiario de BI,ShopFast,Sao Paulo,SP,Hibrido,Estagio,1400,2100,"Suporte a dashboards de e-commerce, Power BI, Excel, SQL e definicao de KPIs."
22,Assistente de Analytics,TravelGo,Rio de Janeiro,RJ,Presencial,Entrada,2200,3000,"Organizar dados de campanhas, criar dashboards em Looker Studio e analisar metricas de conversao."
23,Estagio em Dados,DataCare,Campinas,SP,Remoto,Estagio,1300,2000,"Usar Python, Pandas, SQL e estatistica basica para apoiar analises de produto."
24,Analista de Dados Junior,NeoBank,Sao Paulo,SP,Hibrido,Junior,3500,5000,"Criar consultas SQL, dashboards Power BI, analises de cohort e relatorios para lideranca."
